microsoft/vscode;/src/vs/workbench/browser/parts/editor/editorStatus.ts;114554; TODO@rebornix TODO@jrieken debt: https://github.com/microsoft/vscode/issues/114554$n$ it's inside notebook editor;1075
elastic/kibana;/src/plugins/dashboard/common/saved_dashboard_references.ts;82830; TODO: This extraction should be done by EmbeddablePersistableStateService$n$ https://github.com/elastic/kibana/issues/82830;48
elastic/kibana;/src/plugins/dashboard/common/saved_dashboard_references.ts;82830; TODO: This injection should be done by EmbeddablePersistableStateService$n$ https://github.com/elastic/kibana/issues/82830;97
dotnet/roslyn;/src/Workspaces/Remote/ServiceHub/Services/EditAndContinue/RemoteEditAndContinueService.cs;47341; TODO: Non-C#/VB documents are not currently serialized to remote workspace.$n$ https://github.com/dotnet/roslyn/issues/47341;253
dotnet/roslyn;/src/EditorFeatures/Test/LinkedFiles/LinkedFileDiffMergingEditorTests.cs;46153; TODO: WPF required due to https://github.com/dotnet/roslyn/issues/46153;39
dotnet/roslyn;/src/EditorFeatures/Test/Preview/PreviewWorkspaceTests.cs;46153; TODO: WPF required due to https://github.com/dotnet/roslyn/issues/46153;195
radareorg/radare2;/libr/core/cmd_zign.c;7967; TODO #7967 help refactor: move to detail;433
radareorg/radare2;/libr/core/cmd_help.c;7967; TODO #7967 help refactor;1243
radareorg/radare2;/libr/core/cmd_type.c;7967; TODO #7967 help refactor: move to detail;1402
radareorg/radare2;/libr/core/cmd_anal.c;7967; TODO #7967 help refactor;3591
radareorg/radare2;/libr/core/cmd_anal.c;7967; TODO #7967 help refactor;3684
radareorg/radare2;/libr/core/cmd_anal.c;7967; "ars?"$n$ TODO #7967 help refactor: dup from drp;4647
radareorg/radare2;/libr/core/cmd_debug.c;7967; TODO #7967 help refactor;2151
radareorg/radare2;/libr/core/cmd_debug.c;7967; TODO #7967 help refactor: move to detail;4074
radareorg/radare2;/libr/core/cmd_debug.c;7967; TODO #7967 help refactor: move to detail;4140
radareorg/radare2;/libr/core/cmd_log.c;7967; TODO #7967 help refactor: move to another place;8
radareorg/radare2;/libr/core/cmd_log.c;7967; TODO #7967 help refactor: move L to another place;48
firecracker-microvm/firecracker;/tests/integration_tests/performance/test_snapshot_perf.py;2346; Latencies in milliseconds.$n$ The latency for snapshot creation has high variance due to scheduler noise.$n$ The issue is tracked here:$n$ https://github.com/firecracker-microvm/firecracker/issues/2346$n$ TODO: Update baseline values after fix.;24
microsoft/react-native-windows;/vnext/ReactCommon.UnitTests/JsiRuntimeGenerators.cpp;2730; TODO: #2730 Introduces a vcxitem for shared test code and move this$n$ there.;9
loadimpact/k6;/cmd/ui.go;1427; Print execution description for both cloud and local execution.$n$ TODO: Clean this up as part of #1499 or #1427;111
loadimpact/k6;/cmd/ui.go;1499; Print execution description for both cloud and local execution.$n$ TODO: Clean this up as part of #1499 or #1427;111
loadimpact/k6;/core/local/local_test.go;1250; TODO: change to 200 https://github.com/loadimpact/k6/issues/1250;948
loadimpact/k6;/lib/netext/httpext/digest_transport.go;800; RoundTrip handles digest auth by behaving like an http.RoundTripper$n$$n$ TODO: fix - this is a preliminary solution and is somewhat broken! we're$n$ always making 2 HTTP requests when digest authentication is enabled... we$n$ should cache the nonces and behave more like a browser... or we should$n$ ditch the hacky http.RoundTripper approach and write our own client...$n$$n$ Github issue: https://github.com/loadimpact/k6/issues/800;34
loadimpact/k6;/lib/executor/ramping_vus_test.go;1302; TODO: delete in favor of lib.generateRandomSequence() after$n$ https://github.com/loadimpact/k6/issues/1302 is done (can't import now due to$n$ import loops...);1172
desktop/desktop;/app/src/lib/shells/win32.ts;7; NOTE:$n$ on Windows 7 these are both REG_SZ, which technically isn't supposed$n$ to contain unexpanded references to environment variables. But given$n$ it's also %SystemRoot% and we do the expanding here I think this is$n$ a fine workaround to do to support the maximum number of setups.;122
SFTtech/openage;/openage/convert/value_object/read/media/blendomatic.py;4; alpha_masks_raw is an array of bytes that will draw 32 images,$n$ which are bit masks.$n$$n$ one of these masks also has 2353 pixels$n$ the storage of the bit masks is 4*tilesize, here's why:$n$$n$ 4 * 8bit * 2353 pixels = 75296 bitpixels$n$ ==> 75296/(32 images) = 2353 bitpixel/image$n$$n$ this means if we interprete the 75296 bitpixels as 32 images,$n$ each of these images gets 2353 bit as data.$n$ TODO: why 32 images? isn't that depending on tile_count?;97
withspectrum/spectrum;/flow-typed/npm/react_v16.8.0.js;3031; TODO Delete this once https://github.com/facebook/react/pull/3031 lands$n$ and "react" becomes the standard name for this module;409
withspectrum/spectrum;/flow-typed/npm/react-redux_v5.x.x.js;2360; <= workaround for https://github.com/facebook/flow/issues/2360;70
elastic/beats;/x-pack/auditbeat/magefile.go;11750; TODO: This is only for debian 7 and should be removed when move to a newer OS. This flag is$n$ going to be used unnecessary when building using non-debian7 images$n$ (like when making the linux/arm binaries) and we should remove it soonish.$n$ See https://github.com/elastic/beats/v7/issues/11750 for more details.;208
rkt/rkt;/vendor/golang.org/x/net/http2/server.go;2616; promoteUndeclaredTrailers permits http.Handlers to set trailers$n$ after the header has already been flushed. Because the Go$n$ ResponseWriter interface has no way to set Trailers (only the$n$ Header), and because we didn't want to expand the ResponseWriter$n$ interface, and because nobody used trailers, and because RFC 2616$n$ says you SHOULD (but not must) predeclare any trailers in the$n$ header, the official ResponseWriter rules said trailers in Go must$n$ be predeclared, and then we reuse the same ResponseWriter.Header()$n$ map to mean both Headers and Trailers.  When it's time to write the$n$ Trailers, we pick out the fields of Headers that were declared as$n$ trailers. That worked for a while, until we found the first major$n$ user of Trailers in the wild: gRPC (using them only over http2),$n$ and gRPC libraries permit setting trailers mid-stream without$n$ predeclarnig them. So: change of plans. We still permit the old$n$ way, but we also permit this hack: if a Header() key begins with$n$ "Trailer:", the suffix of that key is a Trailer. Because ':' is an$n$ invalid token byte anyway, there is no ambiguity. (And it's already$n$ filtered out) It's mildly hacky, but not terrible.$n$$n$ This method runs after the Handler is done and promotes any Header$n$ fields to be trailers.;2036
openshift/origin;/vendor/k8s.io/kubernetes/test/e2e/framework/util.go;10217; TODO: Since we don't have support for bulk resource deletion in the API,$n$ while deleting a namespace we are deleting all objects from that namespace$n$ one by one (one deletion == one API call). This basically exposes us to$n$ throttling - currently controller-manager has a limit of max 20 QPS.$n$ Once #10217 is implemented and used in namespace-controller, deleting all$n$ object from a given namespace should be much faster and we will be able$n$ to lower this timeout.$n$ However, now Density test is producing ~26000 events and Load capacity test$n$ is producing ~35000 events, thus assuming there are no other requests it will$n$ take ~30 minutes to fully delete the namespace. Thus I'm setting it to 60$n$ minutes to avoid any timeouts here.;374
jetstack/cert-manager;/devel/addon/sample-external-issuer/install.sh;3531; TODO: Move this image to quay.io$n$ https://github.com/jetstack/cert-manager/issues/3531;40
